image_name,angle,distance,,Ground_truth_angle,Ground_truth_distance,,square error,,,,
61,1.675826737,-31.15957584,,1.868,28.564,,0.192173263,59.72357584,,3566.905511,
62,-13.58716804,-41.16123546,,-8.036,-4.333,,5.55116804,36.82823546,,1356.318927,
63,10.73286847,-78.89878186,,12.175,24.24,,1.44213153,103.1387819,,10637.60832,
98,-10.6622941,162.8300243,,0.587,28.172,,11.2492941,134.6580243,,18132.78351,
99,-12.7088399,57.73354787,,-16.041,-25.611,,3.3321601,83.34454787,,6946.31366,
100,-11.94098071,4.564588335,,8.35,4.199,,20.29098071,0.365588335,,0.133654831,
101,3.286791275,-190.61907,,1.2,-8.333,,2.086791275,182.28607,,33228.21132,
102,0.283476374,-123.5003508,,-17.696,-39.368,,17.97947637,84.1323508,,7078.252451,
103,28.49865851,93.7557336,,15.553,16.369,,12.94565851,77.3867336,,5988.706537,
104,1.498597736,9.755930182,,1.013,6.117,,0.485597736,3.638930182,,13.24181287,
105,-9.322620852,-23.08127689,,-11.817,-5.023,,2.494379148,18.05827689,,326.1013642,
106,11.95318241,14.31137973,,15.225,41.79,,3.27181759,27.47862027,,755.0745719,
107,-2.026103694,-10.15097953,,-0.405,-21.085,,1.621103694,10.93402047,,119.5528036,
108,-10.77496053,-4.17085957,,-18.252,-56.05,,7.47703947,51.87914043,,2691.445212,
109,-6.824750504,-19.12489061,,14.58,9.079,,21.4047505,28.20389061,,795.4594455,
110,1.887181657,-103.8463667,,0.437,-1.75,,1.450181657,102.0963667,,10423.66809,
111,-13.07669156,-128.7526112,,-17.129,-49.636,,4.05230844,79.1166112,,6259.438168,
112,-0.144960147,17.29143331,,15.853,31.045,,15.99796015,13.75356669,,189.1605967,
113,5.146837452,-15.08102954,,-1.963,-4.828,,7.109837452,10.25302954,,105.1246147,
114,-5.751122521,15.50194811,,-16.561,-48.589,,10.80987748,64.09094811,,4107.64963,
115,11.61892991,1.348181888,,17.949,22.222,,6.33007009,20.87381811,,435.7162826,
116,-4.152627671,79.55132161,,1.29,32.15,,5.442627671,47.40132161,,2246.88529,
117,-33.67225444,158.4025595,,-13.42,-21.737,,20.25225444,180.1395595,,32450.2609,
118,15.13201016,102.583768,,16.955,23.51,,1.82298984,79.073768,,6252.660786,
119,-6.327104099,125.8802453,,-2.907,-17.094,,3.420104099,142.9742453,,20441.63482,
120,-4.342955179,-0.848232879,,-11.17,-51.408,,6.827044821,50.55976712,,2556.290051,
122,10.3841265,26.86917645,,15.676,39.281,,5.2918735,12.41182355,,154.0533638,
125,-11.99565685,0.637856406,,1.388,2.279,,13.38365685,1.641143594,,2.693352296,
126,-16.63297141,-104.7778373,,-14.833,-44.059,,1.79997141,60.7188373,,3686.777203,
127,21.72790061,-101.9829968,,18.389,52.284,,3.33890061,154.2669968,,23798.3063,
128,-4.885805775,-12.91247192,,1.348,2.208,,6.233805775,15.12047192,,228.6286711,
129,-14.65180205,75.56196771,,-13.45,-25.7,,1.20180205,101.2619677,,10253.9861,
130,15.04626424,7.497462066,,24.365,-80.749,,9.31873576,88.24646207,,7787.438067,
131,-8.98774994,9.032539847,,-3.149,-2.905,,5.83874994,11.93753985,,142.5048576,
132,-30.15635688,-49.96355476,,-9.888,-11.955,,20.26835688,38.00855476,,1444.650235,
133,11.72947452,-29.04473926,,16.992,49.589,,5.26252548,78.63373926,,6183.26495,
134,10.88944437,-115.4760374,,-2.232,-6.952,,13.12144437,108.5240374,,11777.46669,
135,-0.431134008,-85.82652162,,-15.538,-39.752,,15.10686599,46.07452162,,2122.861543,
136,7.614955962,-45.58658575,,8.957,-6.039,,1.342044038,39.54758575,,1564.011539,
137,12.02706799,71.21599464,,-0.803,3.67,,12.83006799,67.54599464,,4562.461392,
138,-10.29003383,146.9145001,,-15.35,-24.169,,5.05996617,171.0835001,,29269.56401,
139,22.88510346,23.24245563,,20.821,41.741,,2.06410346,18.49854437,,342.1961438,
140,10.31985007,102.2844881,,1.606,2.496,,8.71385007,99.7884881,,9957.742357,
141,-13.13452847,70.87082266,,-10.27,-18.397,,2.86452847,89.26782266,,7968.744162,
142,17.17373793,-828.8096818,,24.432,75.158,,7.25826207,903.9676818,,817157.5697,
143,2.451569083,82.5734829,,1.366,0.594,,1.085569083,81.9794829,,6720.635617,
144,-32.76061706,-52.40052331,,-32.379,-61.502,,0.38161706,9.10147669,,82.83687794,
145,11.30613521,91.4135268,,34.33,81.939,,23.02386479,9.4745268,,89.76665808,
148,1.356872723,-90.53128598,,0.87,10.057,,0.486872723,100.588286,,10118.00328,
149,-21.07334922,-136.3865408,,-22.087,-46.715,,1.01365078,89.6715408,,8040.985229,
150,15.14109989,-10.07331686,,26.334,108.915,,11.19290011,118.9883169,,14158.21955,
151,-11.2336702,-97.67412051,,2.375,47.318,,13.6086702,144.9921205,,21022.71501,
152,0.235967067,-144.4555071,,-22.405,-8.881,,22.64096707,135.5745071,,18380.44698,
154,-7.740215415,59.79371815,,19.578,104.325,,27.31821542,44.53128185,,1983.035063,
155,16.69766106,3.068153648,,1.922,64.506,,14.77566106,61.43784635,,3774.608964,
156,5.523710832,145.800792,,-26.12,-30.626,,31.64371083,176.426792,,31126.41294,
157,-5.715248419,-9.959929565,,16.295,4.031,,22.01024842,13.99092957,,195.7461101,
159,10.49219856,57.0041182,,5.511,26.116,,4.98119856,30.8881182,,954.0758459,
160,-7.526187908,29.93117845,,-19.995,-56.551,,12.46881209,86.48217845,,7479.167189,
161,-1.453480441,89.43524571,,20.863,83.474,,22.31648044,5.96124571,,35.53645041,
167,7.564343075,13.7429226,,1.01,12.141,,6.554343075,1.6019226,,2.566156016,
168,-12.67824705,34.12221314,,-15.497,-16.974,,2.81875295,51.09621314,,2610.822997,
169,9.23115411,136.9464743,,15.089,54.053,,5.85784589,82.8934743,,6871.328082,
,,,,,,,,,,,
,,,,,,,8.886010629,80.07326606,,19827.87981,140.8115045
,,,,,,,angle,mm,,,
